run	timestamp	auditor	target	judge	total
00_smoke	2026-08-12T18-21-37	0.01387705	0.0210698	0.046408	0.081955
00_smoke	2026-08-12T14-39-44	0.02004645	0.025303700000000002	0.052046	0.09739615
01_auditor_pilot	2026-08-12T15-30-30	0.16876705	0.40056576	0.5753373	1.14467011
01_auditor_pilot_retry	2026-08-12T21-06-53	0.0353	0.0693	0.1167	0.2213
01_auditor_pilot_muse	2026-08-12T21-16-11	0.0379	0.2149	0.4443	0.6970
02_haiku_luna	2026-08-12T20-41-30	0.18251914600000002	0.8895172800000001	0.1846837	1.256720126
02_gpt5mini_luna_supp	2026-08-12T20-41-31	0.078067592	0.21625985	0.0622217	0.356549142
02_gpt5mini_luna	2026-08-12T20-41-52	0.14516429	0.4551521	0.15846715	0.75878354
02_haiku_sonnet	2026-08-12T20-41-52	0.061413874000000014	0.26940428000000005	0.4239375	0.7547556540000001
02_gpt5mini_sonnet	2026-08-12T20-41-53	0.08365684799999999	0.2388182	0.567675	0.8901500480000001
02_gpt5mini_luna_fillgap	2026-08-12T23-40-42	0.042841526000000005	0.10576044999999999	0.04047535	0.189077326
